title;views;scientific_name;datetime
Sperm whale;94630;Physeter macrocephalus;2015-07-01
Sperm whale;75481;Physeter macrocephalus;2015-08-01
Sperm whale;75170;Physeter macrocephalus;2015-09-01
Sperm whale;67876;Physeter macrocephalus;2015-10-01
Sperm whale;126768;Physeter macrocephalus;2015-11-01
Sperm whale;168476;Physeter macrocephalus;2015-12-01
Sperm whale;140170;Physeter macrocephalus;2016-01-01
Sperm whale;97155;Physeter macrocephalus;2016-02-01
Sperm whale;119274;Physeter macrocephalus;2016-03-01
Sperm whale;96770;Physeter macrocephalus;2016-04-01
Sperm whale;81042;Physeter macrocephalus;2016-05-01
Sperm whale;72839;Physeter macrocephalus;2016-06-01
Sperm whale;71901;Physeter macrocephalus;2016-07-01
Sperm whale;84611;Physeter macrocephalus;2016-08-01
Sperm whale;73401;Physeter macrocephalus;2016-09-01
Sperm whale;69351;Physeter macrocephalus;2016-10-01
Sperm whale;71035;Physeter macrocephalus;2016-11-01
Sperm whale;72793;Physeter macrocephalus;2016-12-01
Sperm whale;77965;Physeter macrocephalus;2017-01-01
Sperm whale;71979;Physeter macrocephalus;2017-02-01
Sperm whale;69948;Physeter macrocephalus;2017-03-01
Sperm whale;66061;Physeter macrocephalus;2017-04-01
Sperm whale;74346;Physeter macrocephalus;2017-05-01
Sperm whale;60744;Physeter macrocephalus;2017-06-01
Sperm whale;73214;Physeter macrocephalus;2017-07-01
Sperm whale;61529;Physeter macrocephalus;2017-08-01
Sperm whale;53708;Physeter macrocephalus;2017-09-01
Sperm whale;55211;Physeter macrocephalus;2017-10-01
Sperm whale;83801;Physeter macrocephalus;2017-11-01
Sperm whale;68288;Physeter macrocephalus;2017-12-01
Sperm whale;67189;Physeter macrocephalus;2018-01-01
Sperm whale;63650;Physeter macrocephalus;2018-02-01
Sperm whale;71022;Physeter macrocephalus;2018-03-01
Sperm whale;75826;Physeter macrocephalus;2018-04-01
Sperm whale;64826;Physeter macrocephalus;2018-05-01
Sperm whale;60300;Physeter macrocephalus;2018-06-01
Sperm whale;78337;Physeter macrocephalus;2018-07-01
Sperm whale;81939;Physeter macrocephalus;2018-08-01
Sperm whale;68587;Physeter macrocephalus;2018-09-01
Sperm whale;73382;Physeter macrocephalus;2018-10-01
Sperm whale;63024;Physeter macrocephalus;2018-11-01
Sperm whale;72564;Physeter macrocephalus;2018-12-01
Sperm whale;77398;Physeter macrocephalus;2019-01-01
Sperm whale;61349;Physeter macrocephalus;2019-02-01
Sperm whale;68263;Physeter macrocephalus;2019-03-01
Sperm whale;64863;Physeter macrocephalus;2019-04-01
Sperm whale;64132;Physeter macrocephalus;2019-05-01
Sperm whale;64286;Physeter macrocephalus;2019-06-01
Sperm whale;67927;Physeter macrocephalus;2019-07-01
Sperm whale;65336;Physeter macrocephalus;2019-08-01
Sperm whale;62415;Physeter macrocephalus;2019-09-01
Sperm whale;60466;Physeter macrocephalus;2019-10-01
Sperm whale;57557;Physeter macrocephalus;2019-11-01
Sperm whale;64060;Physeter macrocephalus;2019-12-01
Sperm whale;62308;Physeter macrocephalus;2020-01-01
Sperm whale;55714;Physeter macrocephalus;2020-02-01
Sperm whale;56944;Physeter macrocephalus;2020-03-01
Sperm whale;76141;Physeter macrocephalus;2020-04-01
Sperm whale;73073;Physeter macrocephalus;2020-05-01
Sperm whale;69988;Physeter macrocephalus;2020-06-01
Sperm whale;73881;Physeter macrocephalus;2020-07-01
Sperm whale;83691;Physeter macrocephalus;2020-08-01
Sperm whale;68992;Physeter macrocephalus;2020-09-01
Sperm whale;60086;Physeter macrocephalus;2020-10-01
Sperm whale;71452;Physeter macrocephalus;2020-11-01
Sperm whale;65716;Physeter macrocephalus;2020-12-01
Bornean orangutan;9737;Pongo pygmaeus;2015-07-01
Bornean orangutan;9734;Pongo pygmaeus;2015-08-01
Bornean orangutan;10486;Pongo pygmaeus;2015-09-01
Bornean orangutan;15156;Pongo pygmaeus;2015-10-01
Bornean orangutan;10920;Pongo pygmaeus;2015-11-01
Bornean orangutan;10242;Pongo pygmaeus;2015-12-01
Bornean orangutan;10861;Pongo pygmaeus;2016-01-01
Bornean orangutan;11725;Pongo pygmaeus;2016-02-01
Bornean orangutan;15365;Pongo pygmaeus;2016-03-01
Bornean orangutan;36753;Pongo pygmaeus;2016-04-01
Bornean orangutan;25240;Pongo pygmaeus;2016-05-01
Bornean orangutan;13444;Pongo pygmaeus;2016-06-01
Bornean orangutan;13015;Pongo pygmaeus;2016-07-01
Bornean orangutan;18104;Pongo pygmaeus;2016-08-01
Bornean orangutan;20932;Pongo pygmaeus;2016-09-01
Bornean orangutan;12618;Pongo pygmaeus;2016-10-01
Bornean orangutan;12250;Pongo pygmaeus;2016-11-01
Bornean orangutan;15889;Pongo pygmaeus;2016-12-01
Bornean orangutan;14588;Pongo pygmaeus;2017-01-01
Bornean orangutan;12620;Pongo pygmaeus;2017-02-01
Bornean orangutan;13189;Pongo pygmaeus;2017-03-01
Bornean orangutan;11978;Pongo pygmaeus;2017-04-01
Bornean orangutan;12442;Pongo pygmaeus;2017-05-01
Bornean orangutan;12780;Pongo pygmaeus;2017-06-01
Bornean orangutan;33729;Pongo pygmaeus;2017-07-01
Bornean orangutan;15018;Pongo pygmaeus;2017-08-01
Bornean orangutan;9034;Pongo pygmaeus;2017-09-01
Bornean orangutan;17478;Pongo pygmaeus;2017-10-01
Bornean orangutan;25672;Pongo pygmaeus;2017-11-01
Bornean orangutan;12647;Pongo pygmaeus;2017-12-01
Bornean orangutan;12416;Pongo pygmaeus;2018-01-01
Bornean orangutan;11721;Pongo pygmaeus;2018-02-01
Bornean orangutan;12784;Pongo pygmaeus;2018-03-01
Bornean orangutan;13560;Pongo pygmaeus;2018-04-01
Bornean orangutan;13695;Pongo pygmaeus;2018-05-01
Bornean orangutan;12032;Pongo pygmaeus;2018-06-01
Bornean orangutan;9884;Pongo pygmaeus;2018-07-01
Bornean orangutan;10803;Pongo pygmaeus;2018-08-01
Bornean orangutan;8702;Pongo pygmaeus;2018-09-01
Bornean orangutan;9536;Pongo pygmaeus;2018-10-01
Bornean orangutan;10208;Pongo pygmaeus;2018-11-01
Bornean orangutan;10542;Pongo pygmaeus;2018-12-01
Bornean orangutan;10430;Pongo pygmaeus;2019-01-01
Bornean orangutan;10259;Pongo pygmaeus;2019-02-01
Bornean orangutan;12343;Pongo pygmaeus;2019-03-01
Bornean orangutan;12982;Pongo pygmaeus;2019-04-01
Bornean orangutan;11183;Pongo pygmaeus;2019-05-01
Bornean orangutan;12699;Pongo pygmaeus;2019-06-01
Bornean orangutan;10732;Pongo pygmaeus;2019-07-01
Bornean orangutan;11698;Pongo pygmaeus;2019-08-01
Bornean orangutan;11696;Pongo pygmaeus;2019-09-01
Bornean orangutan;12013;Pongo pygmaeus;2019-10-01
Bornean orangutan;13823;Pongo pygmaeus;2019-11-01
Bornean orangutan;10452;Pongo pygmaeus;2019-12-01
Bornean orangutan;11878;Pongo pygmaeus;2020-01-01
Bornean orangutan;14657;Pongo pygmaeus;2020-02-01
Bornean orangutan;12242;Pongo pygmaeus;2020-03-01
Bornean orangutan;16066;Pongo pygmaeus;2020-04-01
Bornean orangutan;13654;Pongo pygmaeus;2020-05-01
Bornean orangutan;11019;Pongo pygmaeus;2020-06-01
Bornean orangutan;11365;Pongo pygmaeus;2020-07-01
Bornean orangutan;12720;Pongo pygmaeus;2020-08-01
Bornean orangutan;11869;Pongo pygmaeus;2020-09-01
Bornean orangutan;17535;Pongo pygmaeus;2020-10-01
Bornean orangutan;12730;Pongo pygmaeus;2020-11-01
Bornean orangutan;12132;Pongo pygmaeus;2020-12-01
Ocelot;56842;Leopardus pardalis;2015-07-01
Ocelot;57573;Leopardus pardalis;2015-08-01
Ocelot;64641;Leopardus pardalis;2015-09-01
Ocelot;71740;Leopardus pardalis;2015-10-01
Ocelot;61428;Leopardus pardalis;2015-11-01
Ocelot;58513;Leopardus pardalis;2015-12-01
Ocelot;60002;Leopardus pardalis;2016-01-01
Ocelot;60387;Leopardus pardalis;2016-02-01
Ocelot;62380;Leopardus pardalis;2016-03-01
Ocelot;61546;Leopardus pardalis;2016-04-01
Ocelot;87789;Leopardus pardalis;2016-05-01
Ocelot;55685;Leopardus pardalis;2016-06-01
Ocelot;50162;Leopardus pardalis;2016-07-01
Ocelot;50912;Leopardus pardalis;2016-08-01
Ocelot;54938;Leopardus pardalis;2016-09-01
Ocelot;53565;Leopardus pardalis;2016-10-01
Ocelot;58169;Leopardus pardalis;2016-11-01
Ocelot;57815;Leopardus pardalis;2016-12-01
Ocelot;62854;Leopardus pardalis;2017-01-01
Ocelot;53882;Leopardus pardalis;2017-02-01
Ocelot;58971;Leopardus pardalis;2017-03-01
Ocelot;57783;Leopardus pardalis;2017-04-01
Ocelot;57715;Leopardus pardalis;2017-05-01
Ocelot;47897;Leopardus pardalis;2017-06-01
Ocelot;51029;Leopardus pardalis;2017-07-01
Ocelot;51192;Leopardus pardalis;2017-08-01
Ocelot;43580;Leopardus pardalis;2017-09-01
Ocelot;46986;Leopardus pardalis;2017-10-01
Ocelot;47680;Leopardus pardalis;2017-11-01
Ocelot;48018;Leopardus pardalis;2017-12-01
Ocelot;64033;Leopardus pardalis;2018-01-01
Ocelot;47936;Leopardus pardalis;2018-02-01
Ocelot;50802;Leopardus pardalis;2018-03-01
Ocelot;46727;Leopardus pardalis;2018-04-01
Ocelot;48926;Leopardus pardalis;2018-05-01
Ocelot;38793;Leopardus pardalis;2018-06-01
Ocelot;42519;Leopardus pardalis;2018-07-01
Ocelot;40180;Leopardus pardalis;2018-08-01
Ocelot;36851;Leopardus pardalis;2018-09-01
Ocelot;41112;Leopardus pardalis;2018-10-01
Ocelot;40520;Leopardus pardalis;2018-11-01
Ocelot;44456;Leopardus pardalis;2018-12-01
Ocelot;48606;Leopardus pardalis;2019-01-01
Ocelot;47809;Leopardus pardalis;2019-02-01
Ocelot;43154;Leopardus pardalis;2019-03-01
Ocelot;43257;Leopardus pardalis;2019-04-01
Ocelot;45987;Leopardus pardalis;2019-05-01
Ocelot;39287;Leopardus pardalis;2019-06-01
Ocelot;41083;Leopardus pardalis;2019-07-01
Ocelot;43483;Leopardus pardalis;2019-08-01
Ocelot;42625;Leopardus pardalis;2019-09-01
Ocelot;46369;Leopardus pardalis;2019-10-01
Ocelot;43719;Leopardus pardalis;2019-11-01
Ocelot;38683;Leopardus pardalis;2019-12-01
Ocelot;53842;Leopardus pardalis;2020-01-01
Ocelot;47246;Leopardus pardalis;2020-02-01
Ocelot;54023;Leopardus pardalis;2020-03-01
Ocelot;86846;Leopardus pardalis;2020-04-01
Ocelot;54378;Leopardus pardalis;2020-05-01
Ocelot;43625;Leopardus pardalis;2020-06-01
Ocelot;46697;Leopardus pardalis;2020-07-01
Ocelot;44756;Leopardus pardalis;2020-08-01
Ocelot;46446;Leopardus pardalis;2020-09-01
Ocelot;52405;Leopardus pardalis;2020-10-01
Ocelot;44296;Leopardus pardalis;2020-11-01
Ocelot;42275;Leopardus pardalis;2020-12-01
Tree pangolin;1892;Manis tricuspis;2015-07-01
Tree pangolin;2431;Manis tricuspis;2015-08-01
Tree pangolin;2222;Manis tricuspis;2015-09-01
Tree pangolin;3031;Manis tricuspis;2015-10-01
Tree pangolin;4537;Manis tricuspis;2015-11-01
Tree pangolin;2734;Manis tricuspis;2015-12-01
Tree pangolin;2978;Manis tricuspis;2016-01-01
Tree pangolin;3021;Manis tricuspis;2016-02-01
Tree pangolin;3693;Manis tricuspis;2016-03-01
Tree pangolin;3630;Manis tricuspis;2016-04-01
Tree pangolin;3362;Manis tricuspis;2016-05-01
Tree pangolin;2568;Manis tricuspis;2016-06-01
Tree pangolin;2406;Manis tricuspis;2016-07-01
Tree pangolin;2981;Manis tricuspis;2016-08-01
Tree pangolin;3650;Manis tricuspis;2016-09-01
Tree pangolin;3550;Manis tricuspis;2016-10-01
Tree pangolin;3203;Manis tricuspis;2016-11-01
Tree pangolin;3595;Manis tricuspis;2016-12-01
Tree pangolin;3208;Manis tricuspis;2017-01-01
Tree pangolin;6927;Manis tricuspis;2017-02-01
Tree pangolin;3635;Manis tricuspis;2017-03-01
Tree pangolin;4523;Manis tricuspis;2017-04-01
Tree pangolin;3569;Manis tricuspis;2017-05-01
Tree pangolin;2447;Manis tricuspis;2017-06-01
Tree pangolin;2485;Manis tricuspis;2017-07-01
Tree pangolin;2319;Manis tricuspis;2017-08-01
Tree pangolin;2392;Manis tricuspis;2017-09-01
Tree pangolin;3040;Manis tricuspis;2017-10-01
Tree pangolin;2848;Manis tricuspis;2017-11-01
Tree pangolin;2438;Manis tricuspis;2017-12-01
Tree pangolin;3167;Manis tricuspis;2018-01-01
Tree pangolin;4048;Manis tricuspis;2018-02-01
Tree pangolin;3199;Manis tricuspis;2018-03-01
Tree pangolin;2896;Manis tricuspis;2018-04-01
Tree pangolin;3602;Manis tricuspis;2018-05-01
Tree pangolin;2594;Manis tricuspis;2018-06-01
Tree pangolin;2479;Manis tricuspis;2018-07-01
Tree pangolin;2594;Manis tricuspis;2018-08-01
Tree pangolin;2596;Manis tricuspis;2018-09-01
Tree pangolin;3334;Manis tricuspis;2018-10-01
Tree pangolin;2709;Manis tricuspis;2018-11-01
Tree pangolin;2488;Manis tricuspis;2018-12-01
Tree pangolin;2620;Manis tricuspis;2019-01-01
Tree pangolin;3667;Manis tricuspis;2019-02-01
Tree pangolin;2865;Manis tricuspis;2019-03-01
Tree pangolin;3560;Manis tricuspis;2019-04-01
Tree pangolin;3038;Manis tricuspis;2019-05-01
Tree pangolin;2523;Manis tricuspis;2019-06-01
Tree pangolin;2782;Manis tricuspis;2019-07-01
Tree pangolin;2706;Manis tricuspis;2019-08-01
Tree pangolin;2789;Manis tricuspis;2019-09-01
Tree pangolin;2902;Manis tricuspis;2019-10-01
Tree pangolin;2654;Manis tricuspis;2019-11-01
Tree pangolin;2561;Manis tricuspis;2019-12-01
Tree pangolin;3375;Manis tricuspis;2020-01-01
Tree pangolin;5356;Manis tricuspis;2020-02-01
Tree pangolin;7549;Manis tricuspis;2020-03-01
Tree pangolin;5441;Manis tricuspis;2020-04-01
Tree pangolin;3977;Manis tricuspis;2020-05-01
Tree pangolin;3258;Manis tricuspis;2020-06-01
Tree pangolin;2615;Manis tricuspis;2020-07-01
Tree pangolin;2640;Manis tricuspis;2020-08-01
Tree pangolin;2536;Manis tricuspis;2020-09-01
Tree pangolin;3122;Manis tricuspis;2020-10-01
Tree pangolin;2969;Manis tricuspis;2020-11-01
Tree pangolin;2474;Manis tricuspis;2020-12-01
Northern plains gray langur;367;Semnopithecus entellus;2015-07-01
Northern plains gray langur;466;Semnopithecus entellus;2015-08-01
Northern plains gray langur;485;Semnopithecus entellus;2015-09-01
Northern plains gray langur;471;Semnopithecus entellus;2015-10-01
Northern plains gray langur;417;Semnopithecus entellus;2015-11-01
Northern plains gray langur;519;Semnopithecus entellus;2015-12-01
Northern plains gray langur;497;Semnopithecus entellus;2016-01-01
Northern plains gray langur;513;Semnopithecus entellus;2016-02-01
Northern plains gray langur;432;Semnopithecus entellus;2016-03-01
Northern plains gray langur;872;Semnopithecus entellus;2016-04-01
Northern plains gray langur;555;Semnopithecus entellus;2016-05-01
Northern plains gray langur;431;Semnopithecus entellus;2016-06-01
Northern plains gray langur;496;Semnopithecus entellus;2016-07-01
Northern plains gray langur;414;Semnopithecus entellus;2016-08-01
Northern plains gray langur;420;Semnopithecus entellus;2016-09-01
Northern plains gray langur;477;Semnopithecus entellus;2016-10-01
Northern plains gray langur;423;Semnopithecus entellus;2016-11-01
Northern plains gray langur;575;Semnopithecus entellus;2016-12-01
Northern plains gray langur;512;Semnopithecus entellus;2017-01-01
Northern plains gray langur;497;Semnopithecus entellus;2017-02-01
Northern plains gray langur;471;Semnopithecus entellus;2017-03-01
Northern plains gray langur;446;Semnopithecus entellus;2017-04-01
Northern plains gray langur;503;Semnopithecus entellus;2017-05-01
Northern plains gray langur;424;Semnopithecus entellus;2017-06-01
Northern plains gray langur;492;Semnopithecus entellus;2017-07-01
Northern plains gray langur;474;Semnopithecus entellus;2017-08-01
Northern plains gray langur;416;Semnopithecus entellus;2017-09-01
Northern plains gray langur;513;Semnopithecus entellus;2017-10-01
Northern plains gray langur;510;Semnopithecus entellus;2017-11-01
Northern plains gray langur;468;Semnopithecus entellus;2017-12-01
Northern plains gray langur;617;Semnopithecus entellus;2018-01-01
Northern plains gray langur;500;Semnopithecus entellus;2018-02-01
Northern plains gray langur;587;Semnopithecus entellus;2018-03-01
Northern plains gray langur;531;Semnopithecus entellus;2018-04-01
Northern plains gray langur;471;Semnopithecus entellus;2018-05-01
Northern plains gray langur;467;Semnopithecus entellus;2018-06-01
Northern plains gray langur;444;Semnopithecus entellus;2018-07-01
Northern plains gray langur;493;Semnopithecus entellus;2018-08-01
Northern plains gray langur;406;Semnopithecus entellus;2018-09-01
Northern plains gray langur;512;Semnopithecus entellus;2018-10-01
Northern plains gray langur;612;Semnopithecus entellus;2018-11-01
Northern plains gray langur;620;Semnopithecus entellus;2018-12-01
Northern plains gray langur;669;Semnopithecus entellus;2019-01-01
Northern plains gray langur;709;Semnopithecus entellus;2019-02-01
Northern plains gray langur;837;Semnopithecus entellus;2019-03-01
Northern plains gray langur;705;Semnopithecus entellus;2019-04-01
Northern plains gray langur;672;Semnopithecus entellus;2019-05-01
Northern plains gray langur;666;Semnopithecus entellus;2019-06-01
Northern plains gray langur;723;Semnopithecus entellus;2019-07-01
Northern plains gray langur;784;Semnopithecus entellus;2019-08-01
Northern plains gray langur;779;Semnopithecus entellus;2019-09-01
Northern plains gray langur;772;Semnopithecus entellus;2019-10-01
Northern plains gray langur;885;Semnopithecus entellus;2019-11-01
Northern plains gray langur;864;Semnopithecus entellus;2019-12-01
Northern plains gray langur;928;Semnopithecus entellus;2020-01-01
Northern plains gray langur;987;Semnopithecus entellus;2020-02-01
Northern plains gray langur;1010;Semnopithecus entellus;2020-03-01
Northern plains gray langur;1352;Semnopithecus entellus;2020-04-01
Northern plains gray langur;4768;Semnopithecus entellus;2020-05-01
Northern plains gray langur;1487;Semnopithecus entellus;2020-06-01
Northern plains gray langur;1036;Semnopithecus entellus;2020-07-01
Northern plains gray langur;939;Semnopithecus entellus;2020-08-01
Northern plains gray langur;948;Semnopithecus entellus;2020-09-01
Northern plains gray langur;1041;Semnopithecus entellus;2020-10-01
Northern plains gray langur;1168;Semnopithecus entellus;2020-11-01
Northern plains gray langur;1126;Semnopithecus entellus;2020-12-01
Common ostrich;1391;Struthio camelus;2015-07-01
Common ostrich;1140;Struthio camelus;2015-08-01
Common ostrich;1025;Struthio camelus;2015-09-01
Common ostrich;1056;Struthio camelus;2015-10-01
Common ostrich;1008;Struthio camelus;2015-11-01
Common ostrich;1266;Struthio camelus;2015-12-01
Common ostrich;1306;Struthio camelus;2016-01-01
Common ostrich;983;Struthio camelus;2016-02-01
Common ostrich;1069;Struthio camelus;2016-03-01
Common ostrich;1163;Struthio camelus;2016-04-01
Common ostrich;1139;Struthio camelus;2016-05-01
Common ostrich;994;Struthio camelus;2016-06-01
Common ostrich;848;Struthio camelus;2016-07-01
Common ostrich;814;Struthio camelus;2016-08-01
Common ostrich;761;Struthio camelus;2016-09-01
Common ostrich;751;Struthio camelus;2016-10-01
Common ostrich;715;Struthio camelus;2016-11-01
Common ostrich;792;Struthio camelus;2016-12-01
Common ostrich;884;Struthio camelus;2017-01-01
Common ostrich;853;Struthio camelus;2017-02-01
Common ostrich;2613;Struthio camelus;2017-03-01
Common ostrich;34823;Struthio camelus;2017-04-01
Common ostrich;35024;Struthio camelus;2017-05-01
Common ostrich;35002;Struthio camelus;2017-06-01
Common ostrich;30512;Struthio camelus;2017-07-01
Common ostrich;27708;Struthio camelus;2017-08-01
Common ostrich;32846;Struthio camelus;2017-09-01
Common ostrich;36428;Struthio camelus;2017-10-01
Common ostrich;40942;Struthio camelus;2017-11-01
Common ostrich;44922;Struthio camelus;2017-12-01
Common ostrich;55812;Struthio camelus;2018-01-01
Common ostrich;51960;Struthio camelus;2018-02-01
Common ostrich;54542;Struthio camelus;2018-03-01
Common ostrich;51520;Struthio camelus;2018-04-01
Common ostrich;55798;Struthio camelus;2018-05-01
Common ostrich;48005;Struthio camelus;2018-06-01
Common ostrich;52078;Struthio camelus;2018-07-01
Common ostrich;57915;Struthio camelus;2018-08-01
Common ostrich;51879;Struthio camelus;2018-09-01
Common ostrich;42530;Struthio camelus;2018-10-01
Common ostrich;34805;Struthio camelus;2018-11-01
Common ostrich;33015;Struthio camelus;2018-12-01
Common ostrich;35551;Struthio camelus;2019-01-01
Common ostrich;33712;Struthio camelus;2019-02-01
Common ostrich;38675;Struthio camelus;2019-03-01
Common ostrich;49827;Struthio camelus;2019-04-01
Common ostrich;34811;Struthio camelus;2019-05-01
Common ostrich;31322;Struthio camelus;2019-06-01
Common ostrich;33178;Struthio camelus;2019-07-01
Common ostrich;33353;Struthio camelus;2019-08-01
Common ostrich;36719;Struthio camelus;2019-09-01
Common ostrich;33823;Struthio camelus;2019-10-01
Common ostrich;32465;Struthio camelus;2019-11-01
Common ostrich;32604;Struthio camelus;2019-12-01
Common ostrich;35535;Struthio camelus;2020-01-01
Common ostrich;33672;Struthio camelus;2020-02-01
Common ostrich;34143;Struthio camelus;2020-03-01
Common ostrich;42268;Struthio camelus;2020-04-01
Common ostrich;40256;Struthio camelus;2020-05-01
Common ostrich;32446;Struthio camelus;2020-06-01
Common ostrich;35882;Struthio camelus;2020-07-01
Common ostrich;38997;Struthio camelus;2020-08-01
Common ostrich;35141;Struthio camelus;2020-09-01
Common ostrich;36991;Struthio camelus;2020-10-01
Common ostrich;35835;Struthio camelus;2020-11-01
Common ostrich;32223;Struthio camelus;2020-12-01
Mecistops;395;Crocodylus cataphractus;2015-07-01
Mecistops;387;Crocodylus cataphractus;2015-08-01
Mecistops;315;Crocodylus cataphractus;2015-09-01
Mecistops;374;Crocodylus cataphractus;2015-10-01
Mecistops;364;Crocodylus cataphractus;2015-11-01
Mecistops;353;Crocodylus cataphractus;2015-12-01
Mecistops;436;Crocodylus cataphractus;2016-01-01
Mecistops;414;Crocodylus cataphractus;2016-02-01
Mecistops;472;Crocodylus cataphractus;2016-03-01
Mecistops;522;Crocodylus cataphractus;2016-04-01
Mecistops;638;Crocodylus cataphractus;2016-05-01
Mecistops;874;Crocodylus cataphractus;2016-06-01
Mecistops;510;Crocodylus cataphractus;2016-07-01
Mecistops;432;Crocodylus cataphractus;2016-08-01
Mecistops;482;Crocodylus cataphractus;2016-09-01
Mecistops;450;Crocodylus cataphractus;2016-10-01
Mecistops;520;Crocodylus cataphractus;2016-11-01
Mecistops;484;Crocodylus cataphractus;2016-12-01
Mecistops;639;Crocodylus cataphractus;2017-01-01
Mecistops;539;Crocodylus cataphractus;2017-02-01
Mecistops;636;Crocodylus cataphractus;2017-03-01
Mecistops;674;Crocodylus cataphractus;2017-04-01
Mecistops;540;Crocodylus cataphractus;2017-05-01
Mecistops;475;Crocodylus cataphractus;2017-06-01
Mecistops;507;Crocodylus cataphractus;2017-07-01
Mecistops;498;Crocodylus cataphractus;2017-08-01
Mecistops;404;Crocodylus cataphractus;2017-09-01
Mecistops;436;Crocodylus cataphractus;2017-10-01
Mecistops;455;Crocodylus cataphractus;2017-11-01
Mecistops;539;Crocodylus cataphractus;2017-12-01
Mecistops;508;Crocodylus cataphractus;2018-01-01
Mecistops;512;Crocodylus cataphractus;2018-02-01
Mecistops;566;Crocodylus cataphractus;2018-03-01
Mecistops;526;Crocodylus cataphractus;2018-04-01
Mecistops;478;Crocodylus cataphractus;2018-05-01
Mecistops;461;Crocodylus cataphractus;2018-06-01
Mecistops;530;Crocodylus cataphractus;2018-07-01
Mecistops;508;Crocodylus cataphractus;2018-08-01
Mecistops;385;Crocodylus cataphractus;2018-09-01
Mecistops;1163;Crocodylus cataphractus;2018-10-01
Mecistops;1142;Crocodylus cataphractus;2018-11-01
Mecistops;1033;Crocodylus cataphractus;2018-12-01
Mecistops;1003;Crocodylus cataphractus;2019-01-01
Mecistops;990;Crocodylus cataphractus;2019-02-01
Mecistops;1052;Crocodylus cataphractus;2019-03-01
Mecistops;1076;Crocodylus cataphractus;2019-04-01
Mecistops;1937;Crocodylus cataphractus;2019-05-01
Mecistops;1096;Crocodylus cataphractus;2019-06-01
Mecistops;1211;Crocodylus cataphractus;2019-07-01
Mecistops;1183;Crocodylus cataphractus;2019-08-01
Mecistops;1037;Crocodylus cataphractus;2019-09-01
Mecistops;1147;Crocodylus cataphractus;2019-10-01
Mecistops;1110;Crocodylus cataphractus;2019-11-01
Mecistops;1105;Crocodylus cataphractus;2019-12-01
Mecistops;1122;Crocodylus cataphractus;2020-01-01
Mecistops;1184;Crocodylus cataphractus;2020-02-01
Mecistops;1239;Crocodylus cataphractus;2020-03-01
Mecistops;1447;Crocodylus cataphractus;2020-04-01
Mecistops;1551;Crocodylus cataphractus;2020-05-01
Mecistops;1205;Crocodylus cataphractus;2020-06-01
Mecistops;1377;Crocodylus cataphractus;2020-07-01
Mecistops;1361;Crocodylus cataphractus;2020-08-01
Mecistops;1342;Crocodylus cataphractus;2020-09-01
Mecistops;1393;Crocodylus cataphractus;2020-10-01
Mecistops;1217;Crocodylus cataphractus;2020-11-01
Mecistops;1384;Crocodylus cataphractus;2020-12-01
Galápagos tortoise;18655;Chelonoidis niger;2015-07-01
Galápagos tortoise;18738;Chelonoidis niger;2015-08-01
Galápagos tortoise;20176;Chelonoidis niger;2015-09-01
Galápagos tortoise;25694;Chelonoidis niger;2015-10-01
Galápagos tortoise;22549;Chelonoidis niger;2015-11-01
Galápagos tortoise;23567;Chelonoidis niger;2015-12-01
Galápagos tortoise;24509;Chelonoidis niger;2016-01-01
Galápagos tortoise;22086;Chelonoidis niger;2016-02-01
Galápagos tortoise;25352;Chelonoidis niger;2016-03-01
Galápagos tortoise;25563;Chelonoidis niger;2016-04-01
Galápagos tortoise;27119;Chelonoidis niger;2016-05-01
Galápagos tortoise;21429;Chelonoidis niger;2016-06-01
Galápagos tortoise;18288;Chelonoidis niger;2016-07-01
Galápagos tortoise;17447;Chelonoidis niger;2016-08-01
Galápagos tortoise;30868;Chelonoidis niger;2016-09-01
Galápagos tortoise;54133;Chelonoidis niger;2016-10-01
Galápagos tortoise;23016;Chelonoidis niger;2016-11-01
Galápagos tortoise;17303;Chelonoidis niger;2016-12-01
Galápagos tortoise;20194;Chelonoidis niger;2017-01-01
Galápagos tortoise;19733;Chelonoidis niger;2017-02-01
Galápagos tortoise;25638;Chelonoidis niger;2017-03-01
Galápagos tortoise;25356;Chelonoidis niger;2017-04-01
Galápagos tortoise;23367;Chelonoidis niger;2017-05-01
Galápagos tortoise;18081;Chelonoidis niger;2017-06-01
Galápagos tortoise;17669;Chelonoidis niger;2017-07-01
Galápagos tortoise;15650;Chelonoidis niger;2017-08-01
Galápagos tortoise;18491;Chelonoidis niger;2017-09-01
Galápagos tortoise;17756;Chelonoidis niger;2017-10-01
Galápagos tortoise;17729;Chelonoidis niger;2017-11-01
Galápagos tortoise;16302;Chelonoidis niger;2017-12-01
Galápagos tortoise;19299;Chelonoidis niger;2018-01-01
Galápagos tortoise;18800;Chelonoidis niger;2018-02-01
Galápagos tortoise;21168;Chelonoidis niger;2018-03-01
Galápagos tortoise;22075;Chelonoidis niger;2018-04-01
Galápagos tortoise;19977;Chelonoidis niger;2018-05-01
Galápagos tortoise;16908;Chelonoidis niger;2018-06-01
Galápagos tortoise;17594;Chelonoidis niger;2018-07-01
Galápagos tortoise;22826;Chelonoidis niger;2018-08-01
Galápagos tortoise;20068;Chelonoidis niger;2018-09-01
Galápagos tortoise;17553;Chelonoidis niger;2018-10-01
